Tanggal,Open,High,Low,Close,Adj Close,Volume,Harga Emas,Kurs Jual,Inflasi
2020-01-01,4538.930176,4627.417969,4445.138184,4466.037109,4466.037109,41848000.0,768000.0,13964.48,2.68 %
2020-01-02,4538.930176,4627.417969,4445.138184,4466.037109,4466.037109,41848000.0,768000.0,13964.48,2.68 %
2020-01-03,4538.930176,4627.417969,4445.138184,4466.037109,4466.037109,41848000.0,816000.0,13968.5,2.68 %
2020-01-04,4538.930176,4627.417969,4445.138184,4466.037109,4466.037109,41848000.0,926000.0,13968.5,2.68 %
2020-01-05,4538.930176,4627.417969,4445.138184,4466.037109,4466.037109,41848000.0,924000.0,13968.5,2.68 %
2020-01-06,4538.930176,4627.417969,4445.138184,4466.037109,4466.037109,41848000.0,928000.0,14030.81,2.68 %
2020-01-07,4905.39209,4928.611816,4885.602051,4914.388184,4914.388184,43243400.0,923000.0,13988.6,2.68 %
2020-01-08,4905.39209,4928.611816,4885.602051,4914.388184,4914.388184,43243400.0,923000.0,14003.67,2.68 %
2020-01-09,5238.486816,5310.679199,5219.208008,5310.679199,5310.679199,90465800.0,1033000.0,13929.3,2.68 %
2020-01-10,4899.644043,4970.094238,4898.99707,4970.094238,4970.094238,96362100.0,1033000.0,13881.06,2.68 %
2020-01-11,4899.644043,4970.094238,4898.99707,4970.094238,4970.094238,96362100.0,1002500.0,13881.06,2.68 %
2020-01-12,5637.894043,5736.318848,5594.277832,5724.742188,5724.742188,209477700.0,960500.0,13881.06,2.68 %
2020-01-13,6287.912109,6297.775879,6269.480957,6296.566895,6296.566895,44003800.0,772500.0,13776.54,2.68 %
2020-01-14,6308.890137,6325.405762,6298.60791,6325.405762,6325.405762,44467400.0,772500.0,13722.27,2.68 %
2020-01-15,6326.166016,6348.525879,6255.498047,6283.365234,6283.365234,51089200.0,777500.0,13774.53,2.68 %
2020-01-16,6275.956055,6299.541016,6255.493164,6286.047852,6286.047852,42118300.0,773500.0,13726.29,2.68 %
2020-01-17,6293.782227,6301.484863,6266.932129,6291.657227,6291.657227,37597900.0,775500.0,13716.24,2.68 %
2020-01-18,6293.782227,6301.484863,6266.932129,6291.657227,6291.657227,37597900.0,775500.0,13716.24,2.68 %
2020-01-19,6293.782227,6301.484863,6266.932129,6291.657227,6291.657227,37597900.0,774500.0,13716.24,2.68 %
2020-01-20,6310.500977,6312.98877,6240.189941,6245.042969,6245.042969,38818200.0,776500.0,13722.27,2.68 %
2020-01-21,6251.99707,6257.884766,6226.063965,6238.152832,6238.152832,41929600.0,774500.0,13726.29,2.68 %
2020-01-22,6241.575195,6265.51416,6223.189941,6233.453125,6233.453125,51077800.0,777500.0,13746.39,2.68 %
2020-01-23,6243.998047,6255.042969,6229.130859,6249.209961,6249.209961,41256500.0,773500.0,13694.13,2.68 %
2020-01-24,6242.834961,6258.851074,6234.825195,6244.108887,6244.108887,38828900.0,773500.0,13700.16,2.68 %
2020-01-25,6242.834961,6258.851074,6234.825195,6244.108887,6244.108887,38828900.0,773500.0,13700.16,2.68 %
